#Readiness,,
#239.1.1.21,51000,1a
#239.1.127.21,51000,1b
#239.1.1.31,51000,501a
#239.1.127.31,51000,501b
#239.1.1.21,51001,2a
#239.1.127.21,51001,2b
#239.1.1.31,51001,502a
#239.1.127.31,51001,502b
#239.1.1.21,51002,3a
#239.1.127.21,51002,3b
#239.1.1.31,51002,503a
#239.1.127.31,51002,503b
#239.1.1.21,51003,4a
#239.1.127.21,51003,4b
#239.1.1.31,51003,504a
#239.1.127.31,51003,504b
#239.1.1.22,51000,10a
#239.1.127.22,51000,10b
#239.1.1.32,51000,510a
#239.1.127.32,51000,510b
#239.1.1.25,51000,41a
#239.1.127.25,51000,41b
#239.1.1.35,51000,541a
#239.1.127.35,51000,541b
#239.1.1.26,51000,42a
#239.1.127.26,51000,42b
#239.1.1.36,51000,542a
#239.1.127.36,51000,542b
#239.1.1.27,51000,43a
#239.1.127.27,51000,43b
#239.1.1.37,51000,543a
#239.1.127.37,51000,543b
#239.1.1.29,51000,70a
#239.1.127.29,51000,70b
#239.1.1.39,51000,570a
#239.1.127.39,51000,570b
#239.1.1.29,51001,71a
#239.1.127.29,51001,71b
#239.1.1.39,51001,571a
#239.1.127.39,51001,571b
#239.1.1.29,51002,72a
#239.1.127.29,51002,72b
#239.1.1.39,51002,572a
#239.1.127.39,51002,572b
#239.1.1.29,51003,73a
#239.1.127.29,51003,73b
#239.1.1.39,51003,573a
#239.1.127.39,51003,573b
#239.1.1.29,51004,74a
#239.1.127.29,51004,74b
#239.1.1.39,51004,574a
#239.1.127.39,51004,574b
#239.1.1.29,51005,75a
#239.1.127.29,51005,75b
#239.1.1.39,51005,575a
#239.1.127.39,51005,575b
#239.1.1.29,51006,76a
#239.1.127.29,51006,76b
#239.1.1.39,51006,576a
#239.1.127.39,51006,576b
#239.1.1.29,51007,77a
#239.1.127.29,51007,77b
#239.1.1.39,51007,577a
#239.1.127.39,51007,577b
#239.1.1.29,51008,78a
#239.1.127.29,51008,78b
#239.1.1.39,51008,578a
#239.1.127.39,51008,578b
#Simulation,,
#239.1.1.1,51000,1a_RT
#239.1.127.1,51000,1b_RT
#225.1.1.1,51000,1a_RF
#225.1.127.1,51000,1b_RF
#239.1.1.1,51001,2a_RT
#239.1.127.1,51001,2b_RT
#225.1.1.1,51001,2a_RF
#225.1.127.1,51001,2b_RF
#239.1.1.1,51002,3a_RT
#239.1.127.1,51002,3b_RT
#225.1.1.1,51002,3a_RF
#225.1.127.1,51002,3b_RF
#239.1.1.1,51003,4a_RT
#239.1.127.1,51003,4b_RT
#225.1.1.1,51003,4a_RF
#225.1.127.1,51003,4b_RF
#239.1.1.2,51000,10a_RT
#239.1.127.2,51000,10b_RT
#225.1.1.2,51000,10a_RF
#225.1.127.2,51000,10b_RF
#239.1.1.3,51000,20a_RT
#239.1.127.3,51000,20b_RT
#225.1.1.3,51000,20a_RF
#225.1.127.3,51000,20b_RF
#239.1.1.3,51001,21a_RT
#239.1.127.3,51001,21b_RT
#225.1.1.3,51001,21a_RF
#225.1.127.3,51001,21b_RF
#239.1.1.3,51002,22a_RT
#239.1.127.3,51002,22b_RT
#225.1.1.3,51002,22a_RF
#225.1.127.3,51002,22b_RF
#239.1.1.3,51003,23a_RT
#239.1.127.3,51003,23b_RT
#225.1.1.3,51003,23a_RF
#225.1.127.3,51003,23b_RF
#239.1.1.3,51004,24a_RT
#239.1.127.3,51004,24b_RT
#225.1.1.3,51004,24a_RF
#225.1.127.3,51004,24b_RF
#239.1.1.3,51005,25a_RT
#239.1.127.3,51005,25b_RT
#225.1.1.3,51005,25a_RF
#225.1.127.3,51005,25b_RF
#239.1.1.3,51006,26a_RT
#239.1.127.3,51006,26b_RT
#225.1.1.3,51006,26a_RF
#225.1.127.3,51006,26b_RF
#239.1.1.3,51007,27a_RT
#239.1.127.3,51007,27b_RT
#225.1.1.3,51007,27a_RF
#225.1.127.3,51007,27b_RF
#239.1.1.3,51008,28a_RT
#239.1.127.3,51008,28b_RT
#225.1.1.3,51008,28a_RF
#225.1.127.3,51008,28b_RF
#239.1.1.4,51000,30a_RT
#239.1.127.4,51000,30b_RT
#225.1.1.4,51000,30a_RF
#225.1.127.4,51000,30b_RF
#239.1.1.4,51001,31a_RT
#239.1.127.4,51001,31b_RT
#225.1.1.4,51001,31a_RF
#225.1.127.4,51001,31b_RF
