239.1.1.11,51000,RF_A_01
239.1.1.11,51001,RF_A_02
239.1.1.13,51000,RF_A_20
239.1.1.13,51001,RF_A_21
239.1.1.13,51002,RF_A_22
239.1.1.13,51003,RF_A_23
239.1.1.13,51004,RF_A_24
239.1.1.13,51005,RF_A_25
239.1.1.13,51006,RF_A_26
239.1.1.13,51007,RF_A_27
239.1.1.13,51008,RF_A_28
239.1.1.11,51002,RF_A_03
239.1.1.11,51003,RF_A_04
239.1.1.15,51000,RF_A_41
239.1.1.16,51000,RF_A_42
239.1.1.17,51000,RF_A_43
239.1.1.18,51000,RF_A_60
239.1.1.19,51000,RF_A_70
239.1.1.19,51001,RF_A_71
239.1.1.19,51002,RF_A_72
239.1.1.19,51003,RF_A_73
239.1.1.19,51004,RF_A_74
239.1.1.19,51005,RF_A_75
239.1.1.19,51006,RF_A_76
239.1.1.19,51007,RF_A_77
239.1.1.19,51008,RF_A_78
239.1.127.11,51000,RF_B_01
239.1.127.11,51001,RF_B_02
239.1.127.13,51000,RF_B_20
239.1.127.13,51001,RF_B_21
239.1.127.13,51002,RF_B_22
239.1.127.13,51003,RF_B_23
239.1.127.13,51004,RF_B_24
239.1.127.13,51005,RF_B_25
239.1.127.13,51006,RF_B_26
239.1.127.13,51007,RF_B_27
239.1.127.13,51008,RF_B_28
239.1.127.11,51002,RF_B_03
239.1.127.11,51003,RF_B_04
239.1.127.15,51000,RF_B_41
239.1.127.16,51000,RF_B_42
239.1.127.17,51000,RF_B_43
239.1.127.18,51000,RF_B_60
239.1.127.19,51000,RF_B_70
239.1.127.19,51001,RF_B_71
239.1.127.19,51002,RF_B_72
239.1.127.19,51003,RF_B_73
239.1.127.19,51004,RF_B_74
239.1.127.19,51005,RF_B_75
239.1.127.19,51006,RF_B_76
239.1.127.19,51007,RF_B_77
239.1.127.19,51008,RF_B_78
239.1.1.1,51000,RT_A_01
239.1.1.1,51001,RT_A_02
239.1.1.3,51000,RT_A_20
239.1.1.3,51001,RT_A_21
239.1.1.3,51002,RT_A_22
239.1.1.3,51003,RT_A_23
239.1.1.3,51004,RT_A_24
239.1.1.3,51005,RT_A_25
239.1.1.3,51006,RT_A_26
239.1.1.3,51007,RT_A_27
239.1.1.3,51008,RT_A_28
239.1.1.1,51002,RT_A_03
239.1.1.1,51003,RT_A_04
239.1.1.5,51000,RT_A_41
239.1.1.6,51000,RT_A_42
239.1.1.7,51000,RT_A_43
239.1.1.8,51000,RT_A_60
239.1.1.9,51000,RT_A_70
239.1.1.9,51001,RT_A_71
239.1.1.9,51002,RT_A_72
239.1.1.9,51003,RT_A_73
239.1.1.9,51004,RT_A_74
239.1.1.9,51005,RT_A_75
239.1.1.9,51006,RT_A_76
239.1.1.9,51007,RT_A_77
239.1.1.9,51008,RT_A_78
239.1.127.1,51000,RT_B_01
239.1.127.1,51001,RT_B_02
239.1.127.3,51000,RT_B_20
239.1.127.3,51001,RT_B_21
239.1.127.3,51002,RT_B_22
239.1.127.3,51003,RT_B_23
239.1.127.3,51004,RT_B_24
239.1.127.3,51005,RT_B_25
239.1.127.3,51006,RT_B_26
239.1.127.3,51007,RT_B_27
239.1.127.3,51008,RT_B_28
239.1.127.1,51002,RT_B_03
239.1.127.1,51003,RT_B_04
239.1.127.5,51000,RT_B_41
239.1.127.6,51000,RT_B_42
239.1.127.7,51000,RT_B_43
239.1.127.8,51000,RT_B_60
239.1.127.9,51000,RT_B_70
239.1.127.9,51001,RT_B_71
239.1.127.9,51002,RT_B_72
239.1.127.9,51003,RT_B_73
239.1.127.9,51004,RT_B_74
239.1.127.9,51005,RT_B_75
239.1.127.9,51006,RT_B_76
239.1.127.9,51007,RT_B_77
239.1.127.9,51008,RT_B_78
