239.1.1.13,51000,RF_A_20
239.1.1.13,51001,RF_A_21
239.1.1.13,51002,RF_A_22
239.1.1.13,51003,RF_A_23
239.1.1.13,51004,RF_A_24
239.1.1.13,51005,RF_A_25
239.1.1.13,51006,RF_A_26
239.1.1.13,51007,RF_A_27
239.1.1.13,51008,RF_A_28
239.1.127.13,51000,RF_B_20
239.1.127.13,51001,RF_B_21
239.1.127.13,51002,RF_B_22
239.1.127.13,51003,RF_B_23
239.1.127.13,51004,RF_B_24
239.1.127.13,51005,RF_B_25
239.1.127.13,51006,RF_B_26
239.1.127.13,51007,RF_B_27
239.1.127.13,51008,RF_B_28
239.1.1.3,51000,RT_A_20
239.1.1.3,51001,RT_A_21
239.1.1.3,51002,RT_A_22
239.1.1.3,51003,RT_A_23
239.1.1.3,51004,RT_A_24
239.1.1.3,51005,RT_A_25
239.1.1.3,51006,RT_A_26
239.1.1.3,51007,RT_A_27
239.1.1.3,51008,RT_A_28
239.1.127.3,51000,RT_B_20
239.1.127.3,51001,RT_B_21
239.1.127.3,51002,RT_B_22
239.1.127.3,51003,RT_B_23
239.1.127.3,51004,RT_B_24
239.1.127.3,51005,RT_B_25
239.1.127.3,51006,RT_B_26
239.1.127.3,51007,RT_B_27
239.1.127.3,51008,RT_B_28
